Subuser,Date,Bandwidth Usage (GB)
lmilanka1118820,2021-01,0.001705078
moeent07f056,2020-07,0.106235352
cwchoi91d92f6,2020-04,1.216813477
francescolasala97130c,2020-12,0.060749023
carataka523b6,2020-04,0.278015625
songguangyao236d3,2020-10,7.382535156
adriandj1236bcd6,2020-07,2.86530957
itsdominicc26b26,2020-06,0.548391602
yjwangruda7c,2020-12,0.040039063
aquarianprototypecd0a6,2020-04,0.031670898
rst_hilaire3019,2020-07,1.368488281
wavystreetcara1826,2020-05,0.096691406
jaydenamaldonadot1f16,2020-08,6.208452148
randyhussey345ead,2020-08,0.067240234
mcarney1222a663,2020-08,1.283786133
shunhorm83d4,2020-04,1.983322266
refsato2a81,2021-01,3.653799805
mrtemecka6a8,2020-05,0.78319043
s985012437e2d7,2020-04,4.072389648
ivanemi99572f6,2020-05,1.016745117
jaimeewongg4f00,2020-09,0.602675781
avizualf54b6,2020-04,4.440088867
kelvinphu8d1c,2020-04,2.038597656
unityjan152a86,2020-06,0.011931641
joshuakim209fb29,2020-06,0.006991211
kvvinngab76,2020-07,0.531369141
danielsimms79d1,2020-11,0.752669922
faroukboudjemaa886b87,2020-07,0.070410156
manualcookers7e79,2020-09,2.81599707
flameray20103311b76,2020-07,6.080591797
danielcristea31338212,2020-12,1.131834961
simonchan002f525,2020-08,0.284456055
lflalexcao6f31,2020-09,0.381943359
dlopezcr7e895,2020-10,0.021677734
dylanayyyee47fzzxz,2022-01,0.174673828
fardeen_jata63a,2020-09,5.425399414
boonhaoyeo3c856,2020-11,0.14403125
boonhaoyeo3c856,2021-01,0.342928711
linalan236ba6,2020-08,0.385463867
awofford2013645d6,2020-11,0.843696289
bosswahab549a30,2020-11,3.348484375
dzhang0108ccdb,2020-12,1.93425
manzoj573126,2020-11,1.19397168
cheungmilesd0ed,2020-10,1.469267578
beatsbyvegamain6808,2020-10,1.505317383
chaidezjoedy233194f,2021-12,0.220705078
ipasun687c844,2020-08,2.890982422
luckysglass106b,2021-12,0.400073242
abdullahihussein1890952,2020-12,1.309070313
kyliesupreme2016b4c6z,2020-04,2.948415039
jordanjazz0190be6,2020-07,0.336407227
gotgwop995169,2020-09,1.494921875
dvdripvideoscd29,2020-07,0.504197266
samsonstone03c94d,2020-12,5.171249023
aaroncheung9546456,2020-07,0.589232422
kimx42661d8d,2021-01,0.143141602
anson900907e1266,2020-06,0.587207031
