Subuser,Date,"Bandwidth Usage"
aaroncheung9546456,2020-05,0.892879883
aaroncheung9546456,2020-06,0.122458008
aaroncheung9546456,2020-07,0.589232422
aaronkwong63343e,2020-05,1.044952148
aaronkwong63343e,2020-06,0.067960938
aaronkwong63343e,2020-07,0.059106445
aaronvalle453856,2020-05,2.233146484
aashishhassam962f,2020-10,4.69984082
aashishhassam996d,2020-09,0.419129883
aashishhassam996d,2020-10,6.260646484
aattanasio63fc166,2020-04,3.811766602
aattanasio63fc166,2020-05,3.432074219
aattanasio63fc166,2020-07,0.007575195
abacani215854,2020-10,1.359410156
abarletta429ecezz,2021-12,6.449682617
abarletta429ecezzxz,2022-01,3.181726563
abdulahdia6114801,2020-08,1.4680625
abdulahdia6114801,2020-09,3.026426758
abdulahdia61196b16,2020-07,2.507410156
abdulahdia61196b16,2020-11,0.168003906
abdulahdia61196b16,2021-01,0.0000586
abdulhakimali35e06,2020-04,0.77653125
abdulhakimali35e06,2020-05,1.051961914
abdulhakimali35e06,2020-06,0.024926758
abdulhakimali35e06,2020-12,0.312080078
abdullahihussein1890952,2020-11,0.066514648
abdullahihussein1890952,2020-12,1.309070313
abdullahihussein1890952,2021-01,0.235650391
abdullahpamuk61apaa2b,2020-05,0.117638672
abdullahpamuk61apaa2b,2020-06,0.063750977
abdullahpamuk61apaa2b,2020-07,2.98571875
abesand1722a3,2020-06,0.172100586
abesand1722a3,2020-07,3.502398438
abesand1722a3,2020-08,0.02674707
abramkremer1361d,2020-10,4.463901367
abrunamarcos1c892,2020-10,3.944052734
accountsce926,2020-04,0.462295898
accountsce926,2020-05,0.030671875
accountsce926,2020-06,0.021854492
accountsce926,2020-09,0.016186523
accountsce926,2020-11,0.030344727
accountsce926,2020-12,0.623273438
acejason8800b73c,2020-06,1.136141602
acejason8800b73c,2020-07,1.156235352
acemaster010c346,2020-10,2.887213867
acera187,2020-11,1.74650293
acera187,2020-12,0.296856445
acera187,2021-01,0.009330078
aces2clan150bzz,2021-12,0.048857422
aces2clan150bzzxz,2022-01,0.140936523
aces78975b3,2020-05,0.142509766
acpbs12106f1d6,2020-04,0.10884375
acpbs12106f1d6,2020-05,0.237788086
acpbs12106f1d6,2020-06,0.453770508
acpbs12106f1d6,2020-07,1.164466797
acpbs12106f1d6,2020-08,0.135650391
acpercent9461,2020-05,0.692361328
acpercent9461,2020-06,0.39962793
acpercent9461,2020-07,0.390731445
acpercent9461,2020-08,1.032157227
acpercent9461,2020-09,1.422911133
acpercent9461,2020-10,4.185182617
acpercent9461,2020-11,4.388054688
acpercent9461,2020-12,2.313823242
acpercent9461,2021-01,0.136944336
acsw20077b56,2020-08,2.296709961
adamabdi15822d,2020-09,1.638430664
adamabdi15822d,2020-10,0.591480469
adambaldwin887e65,2020-05,0.861898438
adambaldwin887e65,2020-06,0.218303711
adambaldwin887e65,2020-07,0.187695313
adambaldwin887e65,2020-08,0.435489258
adambaldwin887e65,2020-09,0.925148438
adambaldwin887e65,2020-10,0.556670898
adambaldwin887e65,2020-11,0.062253906
adammorris82208dc,2020-06,0.132945313
adammorris82208dc,2020-07,0.03559375
addisonquach47f9,2020-05,1.207688477
addisonquach47f9,2020-06,4.27875293
addisonquach47f9,2020-07,0.009748047
adem2nasufi7912,2020-10,0.901173828
adem2nasufi7912,2020-11,0.019423828
adem2nasufi7912,2020-12,0.019598633
adem2nasufi7912,2021-01,0.056091797
aden78d2,2020-08,0.0000586
aden78d2,2020-09,1.894680664
aden78d2,2020-10,1.582943359
aden78d2,2020-11,1.001564453
aden78d2,2020-12,2.79662793
aden78d2,2021-01,0.016197266
adenteob679,2020-10,2.099151367
adenteob679,2020-11,0.022575195
adenteob679,2020-12,0
adibsarakbyf3ce,2020-09,2.230272461
adibsarakbyf3ce,2020-10,0.188540039
adiduangc246,2020-07,0.288605469
adiduangc246,2020-08,0.458068359
admin1f836,2020-07,1.288271484
admin64b5,2020-12,7.85302832
admin7c6f,2020-12,0.753172852
admin7c6f,2021-01,0.374414063
admin8300,2020-04,1.745651367
admin8300,2020-06,0.00000391
admin83866,2020-04,1.561854492
admin83866,2020-05,7.73656543
admin83866,2020-06,3.421269531
admin83866,2020-07,3.803344727
admin83866,2020-08,4.39765332
admin83866,2020-09,3.860850586
admin83866,2020-10,3.662295898
admin83866,2020-11,3.752115234
admin83866,2020-12,3.112858398
admin83866,2021-01,1.32040332
admintest,2020-02,0.000963867
admintest,2020-03,0.038794922
admitchell199115e1,2020-04,0.21446582
admitchell199115e1,2020-05,0.347822266
admitchell199115e1,2020-06,0.065449219
admitchell199115e1,2020-07,1.809219727
admitchell199115e1,2020-08,6.722982422
admitchell199115e1,2020-09,5.74956543
admitchell199115e1,2020-10,0.618746094
admitchell199115e1,2020-11,0.799561523
admitchell199115e1,2020-12,1.179001953
admitchell199115e1,2021-01,0.1114375
adonislee940633,2020-09,0.60625293
adonislee940633,2020-10,3.031782227
adonislee94d522,2020-09,3.817362305
adreantejedaeb24,2020-07,5.222821289
adrian_lara469f4f,2020-07,0.331786133
adrian_lara469f4f,2020-08,1.074436523
adrian_lara469f4f,2020-09,1.396870117
adrian_lara469f4f,2020-10,2.66125293
adrian_lara469f4f,2020-11,0.312305664
adriancarrillo091745d3,2021-12,0.739077148
adrianchristopherjohn0eb96,2020-04,1.854874023
adrianchristopherjohn0eb96,2020-05,0.421104492
adriandj1236bcd6,2020-04,1.958577148
adriandj1236bcd6,2020-05,0.947547852
adriandj1236bcd6,2020-06,0.723618164
adriandj1236bcd6,2020-07,2.86530957
adriandj123fe69,2020-07,0.05006543
adriandj123fe69,2020-08,0.841393555
adriandj123fe69,2020-09,0.067193359
adrianking12194d38,2020-08,0.219250977
adrianking12194d38,2020-09,1.812667969
adrianking12194d38,2020-10,0.290867188
adrianmakara9231,2020-06,1.345650391
adrianmakara9231,2020-07,8.212203125
adrianmakara9231,2020-08,1.188024414
adrianmakara9231,2020-11,0.705618164
adrianmakara9231,2020-12,0.002227539
adrianmur326347d,2020-06,0.030613281
adrianmur326347d,2020-07,0.23522168
adrianmur326347d,2020-08,1.926079102
adrielozunab5c2,2020-10,4.58715332
adrienbaudreea176,2020-05,3.132723633
adrienbaudreea176,2020-07,0.002769531
adrijan_dzaferovskib881,2020-10,2.118293945
adrijan_dzaferovskib881,2020-11,4.041416016
adtjr12489d8,2020-09,0.190924805
adtjr12489d8,2020-10,0.092035156
adtjr12489d8,2020-11,0.42434082
adtjr12489d8,2020-12,0.475836914
adtjr12489d8,2021-01,0.027091797
adwalters5ce2,2021-12,1.450964844
adwalters5ce2xz,2022-01,2.764485352
aeewshah23b91c,2020-11,1.790930664
aeewshah23b91c,2020-12,0.48781543
aeroteckx215a7zz,2021-12,0.950595703
afeldm1tu1th6,2020-05,17.32365625
afeldm1tu1th6,2020-06,5.135369141
afeldm1tu1th6,2020-07,0.251404297
afeldm1tu1th6,2020-08,0.545117188
afeldm1tu1th6,2020-09,0.0000361
afiahmed135bc9,2020-12,0.322061523
afrazhemraj813b,2020-10,0.19819043
afrazhemraj813b,2020-11,15.98667871
afrierso19881aa4,2020-06,0.042083008
afrierso19881aa4,2020-07,0.182964844
afromakchefsfbb6,2020-08,13.69773633
afromakchefsfbb6,2020-09,0.751216797
afromakchefsfbb6,2020-11,0.999579102
afromakchefsfbb6,2020-12,9.826389648
agapitochristian8cfa,2020-07,1.18453418
agapitochristian8cfa,2020-08,0.971545898
ageorgievski2001146b6,2020-06,0.084539063
agonz087ca6,2020-10,2.203292969
agstickel11baa,2020-12,0.717969727
ahmadnaufal1404370e,2020-09,1.792302734
ahmadnaufal1404370e,2020-10,0.853277344
ahmadnaufal1404d8fczz,2021-12,2.002375
ahming18530e06,2020-04,1.773099609
ahming18530e06,2020-05,4.060133789
ahming18530e06,2020-06,0.002688477
aidan90939,2020-04,1.16550293
aidan90939,2020-05,0.003757813
aidanching03c4,2020-07,0.077472656
aidanhouser846a,2020-09,1.884108398
aidanhouser846a,2020-10,0.029216797
aidanhouser846a,2020-11,0.00790625
aidenburch2eaf3,2020-05,2.664073242
aidenburch2eaf3,2020-06,0.073264648
aidensyme97ee6,2020-04,0.007040039
aidensyme97ee6,2020-05,1.359823242
aidensymefca4,2020-05,2.702458008
aidzill12345cb3,2020-04,1.00215918
aiexmcgutube0533,2020-07,2.070995117
aiexmcgutube0533,2020-08,0.080005859
aimname20966536,2020-04,2.827572266
aimname20966536,2020-05,0.321597656
aimname20966536,2020-07,1.630689453
aimname20966536,2020-08,0.098800781
airbrxtn62c5,2020-10,13.78010938
airhardpvpd209,2020-10,2.793888672
airhardpvpd209,2020-12,1.813202148
airpapajohnd05a,2020-04,2.951938477
airpapajohnd05a,2020-05,0.432863281
airpapajohnd05a,2020-06,0.160988281
airpapajohnd05a,2020-07,1.281568359
airpdx23d379,2020-09,2.035025391
ajalvarez87df796,2020-04,1.439277344
ajalvarez87df796,2020-05,1.667866211
ajalvarez87df796,2020-06,2.975415039
ajalvarez87df796,2020-07,2.240064453
ajalvarez87df796,2020-08,7.523248047
ajalvarez87df796,2020-09,2.220283203
ajalvarez87df796,2020-10,12.77990332
ajalvarez87df796,2020-11,1.629611328
ajalvarez87df796,2020-12,3.996454102
ajalvarez87df796,2021-01,2.51125
ajm88hockey92dc,2020-08,0.414796875
ajm88hockey92dc,2020-09,2.443410156
ajm88hockey92dc,2020-10,10.16905371
ajm88hockey92dc,2020-11,14.26437012
ajm88hockey92dc,2020-12,9.736321289
ajm88hockey92dc,2021-01,0.829067383
